target_month,as_of_date,generated_at,current_forecast_total,normal_baseline_forecast,gap_to_normal_baseline,previous_year_actual,yoy_diff,yoy_rate,forecast_low_80,forecast_high_80,insurance_forecast,selfpay_forecast,product_forecast,high_value_selfpay_low,high_value_selfpay_high,pipeline_status
2026-08,2026-08-03,2026-08-03 19:12:15,20865415,22032383,-1166968,21805410,-939995,-4.3,18872795,22161227,13694522,6925619,245273,0,0,OK
2026-08,2026-08-04,2026-08-04 10:44:46,20585870,21697142,-1111273,21805410,-1219540,-5.6,18776416,21762568,13299305,7056697,229868,0,0,OK
2026-08,2026-08-05,2026-08-05 20:19:28,22093527,23316635,-1223108,21805410,288117,1.3,20197259,23326681,14359680,7414757,319090,0,0,OK
2026-08,2026-08-08,2026-08-08 09:59:38,20992517,22120960,-1128443,21805410,-812893,-3.7,19418779,22015927,13753523,6931142,307852,0,0,OK
2026-08,2026-08-09,2026-08-09 07:57:56,21741366,22896947,-1155582,21805410,-64044,-0.3,20231122,22723486,14020738,7408066,312561,0,0,OK
2026-08,2026-08-10,2026-08-10 15:54:44,21171834,22276403,-1104569,21805410,-633576,-2.9,19723751,22113530,13662169,7204624,305041,0,0,OK
2026-08,2026-08-15,2026-08-15 11:23:53,21519872,22739309,-1219437,21805410,-285538,-1.3,20033802,22486271,13899759,7308716,311396,0,0,OK
2026-08,2026-08-17,2026-08-17 13:03:15,21708463,22899013,-1190550,21805410,-96947,-0.4,20357057,22587290,14335041,7056175,317248,0,0,OK
2026-08,2026-08-18,2026-08-18 10:08:15,21483018,22670862,-1187844,21805410,-322392,-1.5,20233793,22295396,14465905,6701937,315176,0,0,OK
2026-08,2026-08-19,2026-08-19 13:59:59,21816651,22730709,-914057,21805410,11241,0.1,20644690,22578784,14875367,6628191,313093,0,0,OK
2026-08,2026-08-21,2026-08-21 22:00:06,21878649,22818419,-939770,21805410,73239,0.3,20770139,22599520,15132014,6429462,317173,0,0,OK
2026-08,2026-08-22,2026-08-22 17:22:20,21440548,22386557,-946010,21805410,-364862,-1.7,20435706,22094002,15113808,6010211,316528,0,0,OK
2026-08,2026-08-24,2026-08-24 21:35:12,21030192,21976202,-946010,21805410,-775218,-3.6,20133402,21607929,14934246,5782628,313318,2332555,3576584,OK
2026-08,2026-08-25,2026-08-25 09:11:10,20449283,21073478,-624195,21805410,-1356127,-6.2,19665279,20954360,14733153,5413998,302132,2332555,3576584,OK
