target_month,as_of_date,generated_at,data_cutoff,config_version,progress,elapsed_clinic_days,total_clinic_days,v21_forecast_total,v3_forecast_total,difference_vs_v21,ensemble_weight,v21_weight,interval_80_low,interval_80_high,interval_90_low,interval_90_high,interval_status,actual_total,v21_error,v3_error,winner,interval_80_hit,interval_90_hit
2026-07,2026-07-25,2026-07-25 17:07:25,2026-07-24,v3-2026-07-25,0.7917,19,24,20504030,20504030,0,0.0,1.0,19766528,21471968,19627452,21766274,provisional_calibration,,,,,,
2026-07,2026-07-27,2026-07-27 14:00:03,2026-07-26,v3-2026-07-25,0.8333,20,24,20227374,20227374,0,0.0,1.0,19624529,21188020,19507386,21714312,provisional_calibration,,,,,,
2026-07,2026-07-28,2026-07-28 10:03:33,2026-07-27,v3-2026-07-25,0.8846,23,26,19908063,19908063,0,0.0,1.0,19315995,20851536,19200946,21368418,provisional_calibration,,,,,,
2026-07,2026-07-29,2026-07-29 09:31:11,2026-07-28,v3-2026-07-25,0.9231,24,26,19816413,19816413,0,0.0,1.0,19381478,20462964,19206746,20629252,provisional_calibration,,,,,,
2026-07,2026-07-31,2026-07-31 09:47:09,2026-07-30,v3-2026-07-25,0.9615,25,26,19796182,19796182,0,0.0,1.0,19361752,20441983,19187222,20608079,provisional_calibration,,,,,,
2026-07,2026-08-01,2026-08-01 07:50:47,2026-07-31,v3-2026-07-25,1.0,27,27,20635672,20635672,0,0.0,1.0,20185272,21305212,20004326,21477414,provisional_calibration,,,,,,
2026-07,2026-08-02,2026-08-02 08:45:56,2026-08-01,v3-2026-07-25,1.0,27,27,20321400,20321400,0,0.0,1.0,19871000,20990940,19690054,21163142,provisional_calibration,,,,,,
