target_month,as_of_date,generated_at,data_cutoff,config_version,progress,elapsed_clinic_days,total_clinic_days,v21_forecast_total,v3_forecast_total,difference_vs_v21,ensemble_weight,v21_weight,interval_80_low,interval_80_high,interval_90_low,interval_90_high,interval_status,actual_total,v21_error,v3_error,winner,interval_80_hit,interval_90_hit
2026-09,2026-09-04,2026-09-04 08:51:04,2026-09-03,v3-2026-07-25,0.1,2,20,19697510,4011208,-15686302,1.0,0.0,5241329,5241329,5241329,5241329,provisional_calibration,,,,,,
2026-09,2026-09-05,2026-09-05 07:49:52,2026-09-04,v3-2026-07-25,0.1429,3,21,20364640,5337678,-15026962,1.0,0.0,7907972,10675297,7735014,10848255,provisional_calibration,,,,,,
2026-09,2026-09-08,2026-09-08 10:31:09,2026-09-07,v3-2026-07-25,0.2381,5,21,21410438,10889608,-10520830,0.8095,0.1905,14193734,43356911,13128713,46058960,provisional_calibration,,,,,,
2026-09,2026-09-12,2026-09-12 08:04:28,2026-09-11,v3-2026-07-25,0.2857,6,21,21558862,14446963,-7111899,0.5714,0.4286,16539610,63542370,16174101,69150287,provisional_calibration,,,,,,
