target_month,as_of_date,generated_at,current_forecast_total,normal_baseline_forecast,gap_to_normal_baseline,previous_year_actual,yoy_diff,yoy_rate,forecast_low_80,forecast_high_80,insurance_forecast,selfpay_forecast,product_forecast,high_value_selfpay_low,high_value_selfpay_high,pipeline_status
2026-09,2026-09-01,2026-09-01 09:02:50,19775627,20990935,-1215308,19752670,22957,0.1,17739308,21087479,13353564,6180344,241718,2118455,3248298,OK
2026-09,2026-09-02,2026-09-02 11:29:32,20809072,22067648,-1258576,19752670,1056402,5.3,18791351,22108943,13881571,6666167,261334,2118455,3248298,OK
2026-09,2026-09-04,2026-09-04 15:38:52,20784044,21715277,-931234,19752670,1031374,5.2,18851524,22029025,13994700,6524082,265261,2152261,3300133,OK
2026-09,2026-09-05,2026-09-05 07:49:01,20620369,21522471,-902102,19752670,867699,4.4,18850468,21760587,13666347,6688665,265357,2140992,3282855,OK
